"","500","1000","2000","5000","10000","20000"
"3002_lkflag","0.0293(0.0179)","0.0369(0.0168)","0.0508(0.0173)","0.0493(0.0063)","0.0488(0.0066)","0.0508(0.0069)"
"4001_rbf","0.1555(0.1531)","0.0685(0.073)","0.0989(0.0511)","0.0912(0.0343)","0.0816(0.0266)","0.0843(0.0163)"
"4001_lkflag","0.0603(0.0838)","0.0525(0.0378)","0.0827(0.0487)","0.0721(0.0264)","0.0649(0.0215)","0.0711(0.0153)"
"4002_rbf","0.0454(0.0174)","0.033(0.015)","0.0379(0.0196)","0.0421(0.013)","0.037(0.0057)","0.0387(0.006)"
"4002_lkflag","0.021(0.0138)","0.0266(0.0143)","0.0299(0.0136)","0.0362(0.0111)","0.0337(0.0075)","0.0353(0.0068)"
"4011_rbf","0.068(0.0383)","0.0724(0.0611)","0.0757(0.0258)","0.0839(0.0196)","0.0742(0.014)","0.0807(0.0096)"
"4011_lkflag","0.0529(0.0499)","0.0517(0.0417)","0.054(0.0213)","0.0664(0.0199)","0.0597(0.0112)","0.069(0.0093)"
"4012_rbf","0.0719(0.0701)","0.0578(0.0205)","0.0784(0.029)","0.0655(0.013)","0.0573(0.0107)","0.0602(0.0052)"
"4012_lkflag","0.0463(0.045)","0.0543(0.0173)","0.062(0.0248)","0.056(0.0092)","0.0525(0.0094)","0.056(0.0052)"
"4021_rbf","0.1243(0.0813)","0.0438(0.0562)","0.1067(0.1098)","0.1242(0.0419)","0.0988(0.0404)","0.1195(0.0411)"
"4021_lkflag","0.0443(0.029)","0.0274(0.0238)","0.0711(0.0662)","0.0863(0.0271)","0.0726(0.0275)","0.0922(0.0341)"
"4022_rbf","0.1278(0.2262)","0.1(0.0848)","0.1002(0.1179)","0.1036(0.0353)","0.1225(0.0355)","0.1306(0.0318)"
"4022_lkflag","0.0533(0.1057)","0.0375(0.0351)","0.0703(0.0841)","0.0885(0.0256)","0.0971(0.0325)","0.0913(0.0236)"
"4101_rbf","0.072(0.0431)","0.0861(0.06)","0.0456(0.0298)","0.0596(0.0144)","0.0704(0.0135)","0.0679(0.0121)"
"4101_lkflag","0.0438(0.0452)","0.062(0.0439)","0.0581(0.0487)","0.0724(0.0175)","0.0763(0.0189)","0.0792(0.014)"
"4102_rbf","0.0615(0.0534)","0.0607(0.0436)","0.0642(0.0353)","0.0646(0.0213)","0.063(0.0094)","0.0621(0.0077)"
"4102_lkflag","0.0295(0.0204)","0.0445(0.0329)","0.0519(0.0253)","0.0622(0.0311)","0.0595(0.0079)","0.0637(0.0077)"
"4111_rbf","0.0614(0.0751)","0.0672(0.0692)","0.0639(0.0677)","0.0594(0.0209)","0.0723(0.0251)","0.0648(0.0164)"
"4111_lkflag","0.0384(0.0554)","0.0524(0.039)","0.0584(0.0568)","0.0533(0.0175)","0.0642(0.0188)","0.0605(0.0183)"
"4112_rbf","0.0458(0.0497)","0.0462(0.0311)","0.0653(0.0328)","0.067(0.0218)","0.0669(0.0137)","0.0633(0.0122)"
"4112_lkflag","0.0312(0.0465)","0.0319(0.0218)","0.0559(0.0288)","0.0607(0.0185)","0.0544(0.0099)","0.055(0.0105)"
