"","5000","10000","15000","20000","25000","30000"
"4111_lkflag","0.0058(0.0018)","0.012(0.0017)","0.0147(0.0023)","0.016(0.0023)","0.0176(0.0027)","0.0171(0.0022)"
"4112_rbf","0.0187(0.0054)","0.0153(0.0035)","0.0151(0.0035)","0.0132(0.0027)","0.0133(0.0015)","0.012(0.0025)"
"4112_lkflag","0.0079(0.0025)","0.0148(0.0033)","0.0178(0.0028)","0.0183(0.0026)","0.0187(0.0018)","0.0184(0.0021)"
"4201_rbf","0.0082(0.0058)","0.0057(0.0025)","0.0047(0.0016)","0.0043(8e-04)","0.0041(9e-04)","0.0042(8e-04)"
"4201_lkflag","0.009(0.0095)","0.0091(0.0034)","0.0125(0.0032)","0.0141(0.0032)","0.0134(0.0016)","0.0143(0.0022)"
"4202_rbf","0.0104(0.0041)","0.0065(0.0021)","0.0063(0.0017)","0.0052(0.0015)","0.0051(0.0014)","0.0053(0.0011)"
"4202_lkflag","0.0108(0.0107)","0.0143(0.0067)","0.0173(0.0073)","0.0173(0.0037)","0.0188(0.003)","0.0169(0.0043)"
"5001_rbf","0.0104(0.0031)","0.0125(0.0012)","0.0101(0.0018)","0.0094(0.002)","0.0094(0.001)","0.0095(0.001)"
"5001_lkflag","0.0029(6e-04)","0.008(0.0018)","0.0081(0.001)","0.0083(0.001)","0.0086(6e-04)","0.0086(0.001)"
"5002_rbf","0.0079(0.0017)","0.0067(9e-04)","0.0065(0.0013)","0.0069(9e-04)","0.0059(8e-04)","0.0064(9e-04)"
"5002_lkflag","0.0028(9e-04)","0.0052(5e-04)","0.006(9e-04)","0.0063(4e-04)","0.0062(7e-04)","0.0068(7e-04)"
"5011_rbf","0.009(0.0018)","0.0085(0.0015)","0.0072(0.0013)","0.0068(0.0014)","0.0066(9e-04)","0.0057(0.001)"
"5011_lkflag","0.0033(0.0015)","0.0058(0.0013)","0.0067(0.0017)","0.0075(7e-04)","0.0077(0.0011)","0.0077(8e-04)"
"5012_rbf","0.005(0.0011)","0.0051(0.0012)","0.0044(9e-04)","0.0043(6e-04)","0.0038(7e-04)","0.0036(5e-04)"
"5012_lkflag","0.0021(9e-04)","0.004(8e-04)","0.0048(9e-04)","0.0049(8e-04)","0.0047(6e-04)","0.0051(7e-04)"
"5021_rbf","0.0122(0.0027)","0.0131(0.0017)","0.0124(0.0023)","0.0118(0.0016)","0.0119(0.0018)","0.0125(0.0012)"
