"","500","1000","2000","5000","10000","20000"
"3001_rbf","0.0239(0.0159)","0.0351(0.0172)","0.0323(0.0094)","0.0328(0.0069)","0.0361(0.0046)","0.0302(0.0031)"
"3001_lkflag","0.0205(0.0187)","0.0242(0.0169)","0.0259(0.0084)","0.0267(0.0045)","0.0304(0.0037)","0.026(0.0023)"
"3002_rbf","0.0279(0.0215)","0.0331(0.0202)","0.0308(0.0174)","0.0355(0.0067)","0.0316(0.0035)","0.0321(0.0031)"
"3002_lkflag","0.0202(0.0124)","0.0302(0.0111)","0.0289(0.0151)","0.0344(0.0071)","0.0308(0.0034)","0.0314(0.0025)"
"4001_rbf","0.078(0.0579)","0.0796(0.0434)","0.0653(0.0177)","0.0693(0.0153)","0.0696(0.0171)","0.0662(0.0078)"
"4001_lkflag","0.0488(0.0305)","0.0597(0.0357)","0.0533(0.0196)","0.0661(0.0163)","0.0675(0.0128)","0.0645(0.0072)"
"4002_rbf","0.0478(0.0417)","0.0653(0.0326)","0.0497(0.0191)","0.0445(0.0073)","0.053(0.0113)","0.0496(0.004)"
"4002_lkflag","0.0352(0.04)","0.0484(0.0181)","0.0456(0.0189)","0.0403(0.0088)","0.0513(0.01)","0.0475(0.0039)"
"4011_rbf","0.0452(0.0388)","0.049(0.0206)","0.052(0.0171)","0.0561(0.0136)","0.0488(0.0089)","0.0525(0.0068)"
"4011_lkflag","0.0274(0.0153)","0.033(0.0137)","0.0454(0.0172)","0.0494(0.0127)","0.045(0.0079)","0.0497(0.0056)"
"4012_rbf","0.0564(0.0536)","0.0732(0.03)","0.0667(0.0225)","0.0701(0.0147)","0.0674(0.0069)","0.0679(0.0023)"
"4012_lkflag","0.0261(0.0208)","0.0558(0.0244)","0.0591(0.0182)","0.061(0.0092)","0.0618(0.0063)","0.0626(0.0024)"
"4021_rbf","0.1047(0.0894)","0.1017(0.1061)","0.1356(0.0644)","0.0953(0.0363)","0.1001(0.0234)","0.0949(0.0124)"
"4021_lkflag","0.0354(0.0274)","0.0467(0.0433)","0.0788(0.0353)","0.0698(0.0282)","0.072(0.0158)","0.0637(0.0098)"
"4022_rbf","0.0637(0.1341)","0.21(0.2966)","0.2082(0.1697)","0.1072(0.069)","0.1695(0.1098)","0.1351(0.0402)"
