"","5000","10000","15000","20000","25000","30000"
"3002_rbf","0.0292(0.005)","0.0308(0.0043)","0.0325(0.0074)","0.0289(0.0057)","0.0278(0.0039)","0.0269(0.0029)"
"3002_lkflag","0.0088(0.0037)","0.0195(0.0042)","0.0233(0.0037)","0.0244(0.0038)","0.0264(0.004)","0.0254(0.0036)"
"4001_rbf","0.0309(0.0079)","0.027(0.0065)","0.0295(0.0073)","0.0324(0.0041)","0.0282(0.0035)","0.029(0.0057)"
"4001_lkflag","0.0142(0.0058)","0.0242(0.0063)","0.0313(0.0072)","0.0347(0.0038)","0.0343(0.0031)","0.0354(0.0047)"
"4002_rbf","0.0193(0.0045)","0.0214(0.004)","0.0215(0.0044)","0.0192(0.0037)","0.0176(0.0025)","0.0161(0.0024)"
"4002_lkflag","0.0085(0.0032)","0.0151(0.0028)","0.019(0.0023)","0.0199(0.0026)","0.0203(0.0025)","0.0204(0.0029)"
"4011_rbf","0.0312(0.014)","0.027(0.0077)","0.0283(0.0057)","0.0258(0.004)","0.0238(0.0025)","0.0227(0.0039)"
"4011_lkflag","0.0104(0.0105)","0.0152(0.0036)","0.0214(0.0056)","0.0217(0.0042)","0.0209(0.0041)","0.0218(0.0037)"
"4012_rbf","0.0251(0.0065)","0.026(0.0044)","0.0258(0.0052)","0.0233(0.0021)","0.024(0.0022)","0.0233(0.0023)"
"4012_lkflag","0.0068(0.0021)","0.0145(0.0021)","0.0171(0.0029)","0.0169(0.0031)","0.0193(0.0015)","0.0191(0.0014)"
"4021_rbf","0.0145(0.0053)","0.0159(0.0038)","0.0122(0.0016)","0.0121(0.0035)","0.0099(0.0032)","0.0095(0.0028)"
"4021_lkflag","0.0047(0.0025)","0.0151(0.0062)","0.0182(0.0034)","0.0205(0.0038)","0.0202(0.0038)","0.02(0.0045)"
"4022_rbf","0.0317(0.0167)","0.025(0.0068)","0.021(0.0061)","0.0208(0.0056)","0.0234(0.0062)","0.0168(0.004)"
"4022_lkflag","0.0141(0.0115)","0.0301(0.012)","0.0302(0.0046)","0.03(0.0048)","0.0365(0.0084)","0.0345(0.004)"
"4101_rbf","0.0185(0.0051)","0.0156(0.0033)","0.0147(0.0033)","0.0147(0.0033)","0.0149(0.0044)","0.0123(0.0023)"
"4101_lkflag","0.0067(0.0028)","0.0131(0.0027)","0.0177(0.0037)","0.0176(0.0028)","0.0189(0.003)","0.0184(0.0026)"
"4102_rbf","0.0132(0.0056)","0.0126(0.0023)","0.013(0.0032)","0.0106(0.002)","0.0104(0.0021)","0.0099(9e-04)"
"4102_lkflag","0.0054(0.0011)","0.0113(0.0024)","0.0128(0.0014)","0.0129(0.0022)","0.0149(0.0023)","0.0145(0.0021)"
